time_step,price
t_1,94.65905544
t_2,93.65938993
t_3,92.06893451
t_4,89.9957695
t_5,87.58078347
t_6,84.98810277
t_7,82.39394065
t_8,79.97462237
t_9,77.89459888
t_10,76.29526253
t_11,75.28532445
t_12,74.93340722
t_13,75.2633571
t_14,76.25259533
t_15,77.8336224
t_16,79.89857537
t_17,82.30653095
t_18,84.89306077
t_19,87.48139191
t_20,89.89441639
t_21,91.96673497
t_22,93.55591751
t_23,94.55221445
t_24,94.88605815
t_25,94.53284225
t_26,93.51465114
t_27,91.89881811
t_28,89.79340622
t_29,87.33991434
t_30,84.70370009
t_31,82.06276669
t_32,79.59567306
t_33,77.46938698
t_34,75.82790645
t_35,74.78242361
t_36,74.40370196
t_37,74.71718904
t_38,75.70120126
t_39,77.28831027
t_40,79.36984268
t_41,81.80319348
t_42,84.42146188
t_43,87.04475962
t_44,89.49242644
t_45,91.59532476
t_46,93.20737786
t_47,94.2155656
t_48,94.54769466
t_49,94.17740982
t_50,93.12609896
t_51,91.46155466
t_52,89.29347524
t_53,86.76610321
t_54,84.04849416
t_55,81.32307162
t_56,78.7732416
t_57,76.57090654
t_58,74.86472747
t_59,73.76993497
t_60,73.36038627
t_61,73.66341529
t_62,74.65783415
t_63,76.27523154
t_64,78.4044896
t_65,80.89922189
t_66,83.58763541
t_67,86.28415346
t_68,88.80201391
t_69,90.96598899
t_70,92.62436116
t_71,93.65933778
t_72,93.99519053
t_73,93.60355776
t_74,92.50553936
t_75,90.7704302
t_76,88.51116672
t_77,85.87678504
t_78,83.04239307
t_79,80.19733069
t_80,77.53231717
t_81,75.22645744
t_82,73.43499127
t_83,72.27862249
t_84,71.83516078
t_85,72.13405426
t_86,73.15419619
t_87,74.82516808
t_88,77.03184789
t_89,79.62208292
t_90,82.41691675
t_91,85.22268405
t_92,87.84415665
t_93,90.09784972
t_94,91.82458209
t_95,92.90043171
t_96,93.24533332
t_97,92.8287223
t_98,91.67182773
t_99,89.84644418
t_100,87.47025071
t_101,84.69898131
t_102,81.71596671
t_103,78.71974898
t_104,75.91060462
t_105,73.47689009
t_106,71.58213969
t_107,70.35379894
t_108,69.87436867
t_109,70.17557478
t_110,71.23597465
t_111,72.98217933
t_112,75.29362457
t_113,78.01058177
t_114,80.9448776
t_115,83.89260362
t_116,86.64795866
t_117,89.01728492
t_118,90.83234152
t_119,91.96190635
t_120,92.32090707
t_121,91.8764464
t_122,90.65029596
t_123,88.71767146
t_124,86.20235491
t_125,83.26847899
t_126,80.10951786
t_127,76.93522206
t_128,73.95737888
t_129,71.3753642
t_130,69.36247067
t_131,68.05394911
t_132,67.53758764
t_133,67.84748428
t_134,68.96145373
t_135,70.80226359
t_136,73.24263467
t_137,76.1136831
t_138,79.2162451
t_139,82.33432597
t_140,85.2497658
t_141,87.757127
t_142,89.67778819
t_143,90.87227833
t_144,91.25
t_145,90.7756645
t_146,89.4719828
t_147,87.41840923
t_148,84.7460037
t_149,81.62874317
t_150,78.27185767
t_151,74.89797187
t_152,71.7319877
t_153,68.98573357
t_154,66.84342774
t_155,65.44895277
t_156,64.89581958
t_157,65.2205206
t_158,66.3997436
t_159,68.35165648
t_160,70.94119649
t_161,73.98902321
t_162,77.2835429
t_163,80.59519859
t_164,83.69206147
t_165,86.35566522
t_166,88.39600261
t_167,89.66465544
t_168,90.06515107
t_169,89.5598233
t_170,88.17269068
t_171,85.98813491
t_172,83.14544756
t_173,79.8295964
t_174,76.25882249
t_175,72.66989924
t_176,69.30204849
t_177,66.38060592
t_178,64.10155074
t_179,62.61796143
t_180,62.02933329
t_181,62.37450271
t_182,63.62868051
t_183,65.70481847
t_184,68.45923806
t_185,71.70115882
t_186,75.20549517
t_187,78.72806399
t_188,82.02217572
t_189,84.85548229
t_190,87.02593119
t_191,88.37573069
t_192,88.80236133
t_193,88.2658655
t_194,86.79189793
t_195,84.47030666
t_196,81.44931859
t_197,77.92570484
t_198,74.1315774
t_199,70.31870302
t_200,66.74139371
t_201,63.63913675
t_202,61.22015022
t_203,59.64699332
t_204,59.0252255
t_205,59.39590542
