week,energy_consumption_[MWh]
week_40,20194.227
week_41,20708.589
week_42,20584.33
week_43,21098.317
week_44,21996.31
week_45,21331.486
week_46,22108.08
week_47,21863.795
week_48,22178.323
week_49,23831.287
week_50,23847.959
week_51,22325.561
week_52,21196.582
week_53,3057.896
week_1,21577.594
week_2,22253.062
week_3,23335.662
week_4,22946.552
week_5,26021.241
week_6,27089.513
week_7,23683.742
week_8,22423.787
week_9,21600.466
week_10,22045.13
week_11,21029.263
week_12,20911.401
week_13,20607.296
week_14,21515.403
week_15,21264.591
week_16,21175.659
week_17,20773.809
week_18,20580.719
week_19,20955.874
week_20,20742.632
week_21,21659.511
week_22,20887.444
week_23,20489.966
week_24,20564.442
week_25,21422.761
week_26,21667.466
week_27,21770.993
week_28,21151.072
week_29,20848.239
week_30,22207.706
week_31,21711.68
week_32,21179.272
week_33,22138.163
week_34,22610.231
week_35,21055.813
week_36,20828.138
week_37,20875.853
week_38,20342.411
week_39,20191.642
